Date,Event Link,Event,Location,Venue,Attendance
2018-05-27,http://ufcstats.com/event-details/f5990c11974d8e9c,UFC Fight Night: Thompson vs. Till,"Liverpool, England, United Kingdom",Echo Arena,8520
2018-05-19,http://ufcstats.com/event-details/3144121470023e9a,UFC Fight Night: Maia vs. Usman,"Santiago, Chile",Movistar Arena,11082
2018-05-12,http://ufcstats.com/event-details/67ec58d7cf599835,UFC 224: Nunes vs. Pennington,"Rio de Janeiro, Rio de Janeiro, Brazil",Jeunesse Arena,10696
2018-04-21,http://ufcstats.com/event-details/ad99fa5325519169,UFC Fight Night: Barboza vs. Lee,"Atlantic City, New Jersey, USA",Boardwalk Hall,9541
2018-04-14,http://ufcstats.com/event-details/620be7e0712d431b,UFC Fight Night: Poirier vs. Gaethje,"Glendale, Arizona, USA",Gila River Arena,11382
2018-04-07,http://ufcstats.com/event-details/49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta,"Brooklyn, New York, USA",Barclays Center,17026
2018-03-17,http://ufcstats.com/event-details/eed2b71d77d95416,UFC Fight Night: Werdum vs. Volkov,"London, England, United Kingdom",The O2 Arena,16274
2018-03-03,http://ufcstats.com/event-details/7929be8290289a47,UFC 222: Cyborg vs. Kunitskaya,"Las Vegas, Nevada, USA",T-Mobile Arena,12041
2018-02-24,http://ufcstats.com/event-details/daa89f01e1c0f42a,UFC Fight Night: Emmett vs. Stephens,"Orlando, Florida, USA",Amway Center,10124
2018-02-18,http://ufcstats.com/event-details/d181689653115b6a,UFC Fight Night: Cerrone vs. Medeiros,"Austin, Texas, USA",Frank Erwin Center,10502
2018-02-10,http://ufcstats.com/event-details/15515e797aedc137,UFC 221: Romero vs. Rockhold,"Perth, Western Australia, Australia",Perth Arena,12437
2018-02-03,http://ufcstats.com/event-details/7cf20446453f852b,UFC Fight Night: Machida vs. Anders,"Belem, Para, Brazil",Arena Guilherme Paraense,10144
2018-01-27,http://ufcstats.com/event-details/602bb270f2bdbf02,UFC Fight Night: Jacare vs. Brunson 2,"Charlotte, North Carolina, USA",Spectrum Center,10249
2018-01-20,http://ufcstats.com/event-details/02177caefe7c07d4,UFC 220: Miocic vs. Ngannou,"Boston, Massachusetts, USA",TD Garden,16015
2018-01-14,http://ufcstats.com/event-details/fc1868f56d3036eb,UFC Fight Night: Stephens vs. Choi,"St. Louis, Missouri, USA",Scottrade Center,10052
2017-12-30,http://ufcstats.com/event-details/04076783ca83d6ae,UFC 219: Cyborg vs. Holm,"Las Vegas, Nevada, USA",T-Mobile Arena,13561
2017-12-16,http://ufcstats.com/event-details/eaa0a728cc91ef60,UFC Fight Night: Lawler vs. Dos Anjos,"Winnipeg, Manitoba, Canada",Canada Life Centre,8862
2017-12-09,http://ufcstats.com/event-details/bcd124bcd3d5be46,UFC Fight Night: Swanson vs. Ortega,"Fresno, California, USA",Save Mart Center,7605
2017-12-02,http://ufcstats.com/event-details/9e30f69cc0869301,UFC 218: Holloway vs. Aldo 2,"Detroit, Michigan, USA",Little Caesars Arena,17587
2017-12-01,http://ufcstats.com/event-details/30e8b4505f5ccf92,The Ultimate Fighter: A New World Champion Finale,"Las Vegas, Nevada, USA",Park Theater,
2017-11-25,http://ufcstats.com/event-details/e7bc606d269896aa,UFC Fight Night: Bisping vs. Gastelum,"Shanghai, Hebei, China",Mercedes-Benz Arena,15128
2017-11-18,http://ufcstats.com/event-details/caced97768818230,UFC Fight Night: Werdum vs. Tybura,"Sydney, New South Wales, Australia",Qudos Bank Arena,10021
2017-11-11,http://ufcstats.com/event-details/d856a0080ac09ed7,UFC Fight Night: Poirier vs. Pettis,"Norfolk, Virginia, USA",Ted Constant Convocation Center,8442
2017-11-04,http://ufcstats.com/event-details/a25b71fe5e31fa97,UFC 217: Bisping vs. St-Pierre,"New York City, New York, USA",Madison Square Garden,18201
2017-10-28,http://ufcstats.com/event-details/a7724f51e32e763e,UFC Fight Night: Brunson vs. Machida,"Sao Paulo, Sao Paulo, Brazil",Ginásio do Ibirapuera,10265
2017-10-21,http://ufcstats.com/event-details/d6b68eaf4b68b160,UFC Fight Night: Cerrone vs. Till,"Gdansk, Poland",Ergo Arena,11138
2017-10-07,http://ufcstats.com/event-details/cc5834a495d1ea08,UFC 216: Ferguson vs. Lee,"Las Vegas, Nevada, USA",T-Mobile Arena,10638
2017-09-22,http://ufcstats.com/event-details/9211aae062b799d6,UFC Fight Night: Saint Preux vs. Okami,"Saitama, Saitama, Japan",Saitama Super Arena,8571
2017-09-16,http://ufcstats.com/event-details/1979c80150f630c4,UFC Fight Night: Rockhold vs. Branch,"Pittsburgh, Pennsylvania, USA",PPG Paints Arena,7005
2017-09-09,http://ufcstats.com/event-details/d86e913c548c07c2,UFC 215: Nunes vs. Shevchenko 2,"Edmonton, Alberta, Canada",Rogers Place,16232
2017-09-02,http://ufcstats.com/event-details/a3244e3238541482,UFC Fight Night: Volkov vs. Struve,"Rotterdam, Zuid-Holland, Netherlands",Rotterdam Ahoy,10224
2017-08-05,http://ufcstats.com/event-details/f4a031ac205ac580,UFC Fight Night: Pettis vs. Moreno,"Mexico City, Distrito Federal, Mexico",Arena Ciudad de México,10172
2017-07-29,http://ufcstats.com/event-details/ff9578cdbfabd323,UFC 214: Cormier vs. Jones 2,"Anaheim, California, USA",Honda Center,16610
2017-07-22,http://ufcstats.com/event-details/9f3d6ddef3d3cccc,UFC Fight Night: Weidman vs. Gastelum,"Uniondale, New York, USA",Nassau Veterans Memorial Coliseum,11198
2017-07-16,http://ufcstats.com/event-details/d7907a9a968e4d29,UFC Fight Night: Nelson vs. Ponzinibbio,"Glasgow, Scotland, United Kingdom",The SSE Hydro,10589
2017-07-08,http://ufcstats.com/event-details/686cccbf1a4de453,UFC 213: Romero vs. Whittaker,"Las Vegas, Nevada, USA",T-Mobile Arena,12834
2017-07-07,http://ufcstats.com/event-details/23bd78c3f89bdb54,The Ultimate Fighter: Redemption Finale,"Las Vegas, Nevada, USA",T-Mobile Arena,6308
2017-06-25,http://ufcstats.com/event-details/99bf06f20491cb54,UFC Fight Night: Chiesa vs. Lee,"Oklahoma City, Oklahoma, USA",Chesapeake Energy Arena,7605
2017-06-17,http://ufcstats.com/event-details/353de740bb6c7e75,UFC Fight Night: Holm vs. Correia,"Kallang, Singapore",Singapore Indoor Stadium,8414
2017-06-10,http://ufcstats.com/event-details/90e7447d8b7f3f35,UFC Fight Night: Lewis vs. Hunt,"Auckland, New Zealand",Spark Arena,8649
2017-06-03,http://ufcstats.com/event-details/1507214bbc7a79e2,UFC 212: Aldo vs. Holloway,"Rio de Janeiro, Rio de Janeiro, Brazil",Jeunesse Arena,15412
2017-05-28,http://ufcstats.com/event-details/1c7cce2f5c17160d,UFC Fight Night: Gustafsson vs. Teixeira,"Stockholm, Sweden",Ericsson Globe,12668
2017-05-13,http://ufcstats.com/event-details/5df10509264586e5,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",American Airlines Center,17834
2017-04-22,http://ufcstats.com/event-details/bc7f7f0ba3db74d2,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",Bridgestone Arena,10144
2017-04-15,http://ufcstats.com/event-details/ed069a95aaaf4f56,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",Sprint Center,12171
2017-04-08,http://ufcstats.com/event-details/e7bfdb5e0112891e,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",KeyBank Center,17110
2017-03-18,http://ufcstats.com/event-details/c0231720fe516994,UFC Fight Night: Manuwa vs. Anderson,"London, England, United Kingdom",The O2 Arena,15761
2017-03-11,http://ufcstats.com/event-details/47b7e4e60813b7b2,UFC Fight Night: Belfort vs. Gastelum,"Fortaleza, Ceara, Brazil",Centro de Formação Olímpica do Nordeste,14069
2017-03-04,http://ufcstats.com/event-details/20e403a1acfef130,UFC 209: Woodley vs. Thompson 2,"Las Vegas, Nevada, USA",T-Mobile Arena,13150
2017-02-19,http://ufcstats.com/event-details/b4ad3a06ee4d660c,UFC Fight Night: Lewis vs. Browne,"Halifax, Nova Scotia, Canada",Scotiabank Centre,8123
2017-02-11,http://ufcstats.com/event-details/865aa315ea62c511,UFC 208: Holm vs. De Randamie,"Brooklyn, New York, USA",Barclays Center,15628
2017-02-04,http://ufcstats.com/event-details/6a8a06b542e1516d,UFC Fight Night: Bermudez vs. The Korean Zombie,"Houston, Texas, USA",Toyota Center,8119
2017-01-28,http://ufcstats.com/event-details/4512e46543b960ad,UFC on FOX: Shevchenko vs. Pena,"Denver, Colorado, USA",Pepsi Center,13233
2017-01-15,http://ufcstats.com/event-details/46effbd1135423c5,UFC Fight Night: Rodriguez vs. Penn,"Phoenix, Arizona, USA",Talking Stick Resort Arena,11589
2016-12-30,http://ufcstats.com/event-details/4b2390cfaceb91d8,UFC 207: Nunes vs. Rousey,"Las Vegas, Nevada, USA",T-Mobile Arena,18533
2016-12-17,http://ufcstats.com/event-details/32541eb5d12668b4,UFC on FOX: VanZant vs. Waterson,"Sacramento, California, USA",Golden 1 Center,13136
2016-12-10,http://ufcstats.com/event-details/6e3282d57d2467a0,UFC 206: Holloway vs. Pettis,"Toronto, Ontario, Canada",Scotiabank Arena,18057
2016-12-09,http://ufcstats.com/event-details/7139cd2ae4bf6a29,UFC Fight Night: Lewis vs. Abdurakhimov,"Albany, New York, USA",Times Union Center,6216
2016-12-03,http://ufcstats.com/event-details/bd4389b71fdc0ce2,The Ultimate Fighter: Tournament of Champions Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,2044
2016-11-26,http://ufcstats.com/event-details/73e09f837f3b5ecc,UFC Fight Night: Whittaker vs. Brunson,"Melbourne, Victoria, Australia",Rod Laver Arena,13721
2016-11-19,http://ufcstats.com/event-details/5cde96e0a1a1fffe,UFC Fight Night: Bader vs. Nogueira,"Sao Paulo, Sao Paulo, Brazil",Ginásio do Ibirapuera,9028
2016-11-19,http://ufcstats.com/event-details/6810d8d2dd557cf9,UFC Fight Night: Mousasi vs. Hall 2,"Belfast, Northern Ireland, United Kingdom",The SSE Arena,7222
2016-11-12,http://ufcstats.com/event-details/4956f60b7fa57c1a,UFC 205: Alvarez vs. McGregor,"New York City, New York, USA",Madison Square Garden,20427
2016-11-05,http://ufcstats.com/event-details/6083f497c22cc075,UFC Fight Night: Dos Anjos vs. Ferguson,"Mexico City, Distrito Federal, Mexico",Arena Ciudad de México,11460
2016-10-08,http://ufcstats.com/event-details/154a6b3ffae264cd,UFC 204: Bisping vs. Henderson,"Manchester, England, United Kingdom",AO Arena,16000
2016-10-01,http://ufcstats.com/event-details/a196332ee4aa8a82,UFC Fight Night: Lineker vs. Dodson,"Portland, Oregon, USA",Moda Center,6240
2016-09-24,http://ufcstats.com/event-details/e18012194473e8b0,UFC Fight Night: Cyborg vs. Lansberg,"Brasilia, Distrito Federal, Brazil",Ginásio Nilson Nelson,8410
2016-09-17,http://ufcstats.com/event-details/d6455cb4bee503ce,UFC Fight Night: Poirier vs. Johnson,"Hidalgo, Texas, USA",State Farm Arena,5624
2016-09-10,http://ufcstats.com/event-details/2dc7f1762dc0a7ef,UFC 203: Miocic vs. Overeem,"Cleveland, Ohio, USA",Quicken Loans Arena,18875
2016-09-03,http://ufcstats.com/event-details/2b4faacc16d66898,UFC Fight Night: Arlovski vs. Barnett,"Hamburg, Hamburg, Germany",Barclaycard Arena,11763
2016-08-27,http://ufcstats.com/event-details/cfbccfed4e4796fe,UFC on FOX: Maia vs. Condit,"Vancouver, British Columbia, Canada",Rogers Arena,10533
2016-08-20,http://ufcstats.com/event-details/5da4e8dc02e50ac0,UFC 202: Diaz vs. McGregor 2,"Las Vegas, Nevada, USA",T-Mobile Arena,15539
2016-08-06,http://ufcstats.com/event-details/232c582f29f8f65e,UFC Fight Night: Rodriguez vs. Caceres,"Salt Lake City, Utah, USA",Vivint Smart Home Arena,6689
2016-07-30,http://ufcstats.com/event-details/72cbe507644a587c,UFC 201: Lawler vs. Woodley,"Atlanta, Georgia, USA",Philips Arena,10240
2016-07-23,http://ufcstats.com/event-details/8a028648f3f0761d,UFC on FOX: Holm vs. Shevchenko,"Chicago, Illinois, USA",United Center,10287
2016-07-13,http://ufcstats.com/event-details/5e7a28f20927d64a,UFC Fight Night: McDonald vs. Lineker,"Sioux Falls, South Dakota, USA",Denny Sanford Premier Center,5671
2016-07-09,http://ufcstats.com/event-details/aa5b4eff51bdc7d1,UFC 200: Tate vs. Nunes,"Las Vegas, Nevada, USA",T-Mobile Arena,18202
2016-07-08,http://ufcstats.com/event-details/cd42bbe8887bba90,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,8115
2016-07-07,http://ufcstats.com/event-details/45a2ba3ef82b9700,UFC Fight Night: Dos Anjos vs. Alvarez,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,7760
2016-06-18,http://ufcstats.com/event-details/563d051c9e769b24,UFC Fight Night: MacDonald vs. Thompson,"Ottawa, Ontario, Canada",TD Place Arena,10490
2016-06-04,http://ufcstats.com/event-details/ff4c3ab594c7fac3,UFC 199: Rockhold vs. Bisping 2,"Los Angeles, California, USA",The Forum,15587
2016-05-29,http://ufcstats.com/event-details/990060b2a68a7b82,UFC Fight Night: Almeida vs. Garbrandt,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,5193
2016-05-14,http://ufcstats.com/event-details/a4bf17bd3ba3423b,UFC 198: Werdum vs. Miocic,"Curitiba, Parana, Brazil",Arena da Baixada,45207
2016-05-08,http://ufcstats.com/event-details/a314687f372b2cec,UFC Fight Night: Overeem vs. Arlovski,"Rotterdam, Zuid-Holland, Netherlands",Rotterdam Ahoy,10421
2016-04-23,http://ufcstats.com/event-details/3d481aa374c954a1,UFC 197: Jones vs. Saint Preux,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,11352
2016-04-16,http://ufcstats.com/event-details/e7e970d508529bf3,UFC on FOX: Teixeira vs. Evans,"Tampa, Florida, USA",Amalie Arena,11273
2016-04-10,http://ufcstats.com/event-details/4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs. Dos Santos,"Zagreb, Croatia",Arena Zagreb,13177
2016-03-19,http://ufcstats.com/event-details/e60201cfab7d656d,UFC Fight Night: Hunt vs. Mir,"Brisbane, Queensland, Australia",Brisbane Entertainment Centre,9552
2016-03-05,http://ufcstats.com/event-details/db1f2ed63b54b9a7,UFC 196: McGregor vs. Diaz,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14898
2016-02-27,http://ufcstats.com/event-details/39c568f8c579913e,UFC Fight Night: Silva vs. Bisping,"London, England, United Kingdom",The O2 Arena,16734
2016-02-21,http://ufcstats.com/event-details/d56bb6dff2ae77eb,UFC Fight Night: Cowboy vs. Cowboy,"Pittsburgh, Pennsylvania, USA",Consol Energy Center,7330
2016-02-06,http://ufcstats.com/event-details/de99da2c0d18d34a,UFC Fight Night: Hendricks vs. Thompson,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,7422
2016-01-30,http://ufcstats.com/event-details/b3fb8d2293e17a59,UFC on FOX: Johnson vs. Bader,"Newark, New Jersey, USA",Prudential Center,10555
2016-01-17,http://ufcstats.com/event-details/c6becb722706c7d8,UFC Fight Night: Dillashaw vs. Cruz,"Boston, Massachusetts, USA",TD Garden,12022
2016-01-02,http://ufcstats.com/event-details/380e8b023290d091,UFC 195: Lawler vs. Condit,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,10300
2015-12-19,http://ufcstats.com/event-details/80d918336163b80c,UFC on FOX: Dos Anjos vs. Cowboy 2,"Orlando, Florida, USA",Amway Center,14459
2015-12-12,http://ufcstats.com/event-details/354808cf38d9d73c,UFC 194: Aldo vs. McGregor,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,16516
2015-12-11,http://ufcstats.com/event-details/20fbff570c678e1c,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"Las Vegas, Nevada, USA",The Chelsea at The Cosmopolitan,2566
2015-12-10,http://ufcstats.com/event-details/dd39f1ca787a3d9d,UFC Fight Night: Namajunas vs. VanZant,"Las Vegas, Nevada, USA",The Chelsea at The Cosmopolitan,1643
2015-11-28,http://ufcstats.com/event-details/4d636c3aa1105950,UFC Fight Night: Henderson vs. Masvidal,"Seoul, South Korea",Olympic Gymnastics Arena,12156
2015-11-21,http://ufcstats.com/event-details/243b07fc65ccbb16,UFC Fight Night: Magny vs. Gastelum,"Monterrey, Nuevo Leon, Mexico",Arena Monterrey,10410
2015-11-14,http://ufcstats.com/event-details/8d04923f2db59b7f,UFC 193: Rousey vs. Holm,"Melbourne, Victoria, Australia",Marvel Stadium,56214
2015-11-07,http://ufcstats.com/event-details/5345f86680378fc1,UFC Fight Night: Belfort vs. Henderson 3,"Sao Paulo, Sao Paulo, Brazil",Ginásio do Ibirapuera,10628
2015-10-24,http://ufcstats.com/event-details/f3155a94ca420126,UFC Fight Night: Holohan vs. Smolka,"Dublin, Leinster, Ireland",3Arena,9500
2015-10-03,http://ufcstats.com/event-details/119ebea97e914dcf,UFC 192: Cormier vs. Gustafsson,"Houston, Texas, USA",Toyota Center,14622
2015-09-26,http://ufcstats.com/event-details/a4dd5c9a75763295,UFC Fight Night: Barnett vs. Nelson,"Saitama, Japan",Saitama Super Arena,10137
2015-09-05,http://ufcstats.com/event-details/82f5c81f4e3c3eb5,UFC 191: Johnson vs. Dodson 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,10873
2015-08-23,http://ufcstats.com/event-details/2ce6541127b0e232,UFC Fight Night: Holloway vs. Oliveira,"Saskatoon, Saskatchewan, Canada",SaskTel Centre,7202
2015-08-08,http://ufcstats.com/event-details/b71667c778b6d9e5,UFC Fight Night: Teixeira vs. Saint Preux,"Nashville, Tennessee, USA",Bridgestone Arena,7539
2015-08-01,http://ufcstats.com/event-details/a9c45a8b21eabadc,UFC 190: Rousey vs. Correia,"Rio de Janeiro, Rio de Janeiro, Brazil",HSBC Arena,14723
2015-07-25,http://ufcstats.com/event-details/0c3838c8f7c620c2,UFC on FOX: Dillashaw vs. Barao II,"Chicago, Illinois, USA",United Center,11663
2015-07-18,http://ufcstats.com/event-details/ef7fa30364cbe7f2,UFC Fight Night: Bisping vs. Leites,"Glasgow, Scotland, United Kingdom",The SSE Hydro,10451
2015-07-15,http://ufcstats.com/event-details/36877f0e62b25b96,UFC Fight Night: Mir vs. Duffee,"San Diego, California, USA",Pechanga Arena,5471
2015-07-12,http://ufcstats.com/event-details/a890f9a791ed615d,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,4844
2015-07-11,http://ufcstats.com/event-details/3be081c29bf734d9,UFC 189: Mendes vs. McGregor,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,16019
2015-06-27,http://ufcstats.com/event-details/86e388ed20761ad9,UFC Fight Night: Machida vs. Romero,"Hollywood, Florida, USA",Seminole Hard Rock Hotel and Casino,5604
2015-06-20,http://ufcstats.com/event-details/194fc025f9355db6,UFC Fight Night: Jedrzejczyk vs. Penne,"Berlin, Berlin, Germany",Uber Arena,8155
2015-06-13,http://ufcstats.com/event-details/a58114c6dd0add64,UFC 188: Velasquez vs. Werdum,"Mexico City, Distrito Federal, Mexico",Arena Ciudad de México,21036
2015-06-06,http://ufcstats.com/event-details/06dc1a58663579d2,UFC Fight Night: Boetsch vs. Henderson,"New Orleans, Louisiana, USA",Smoothie King Center,6231
2015-05-30,http://ufcstats.com/event-details/aae0897825336b1a,UFC Fight Night: Condit vs. Alves,"Goiania, Goias, Brazil",Goiânia Arena,3500
2015-05-23,http://ufcstats.com/event-details/4f7e290e71d60f87,UFC 187: Johnson vs. Cormier,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12615
2015-05-16,http://ufcstats.com/event-details/b1605ea39fba6af6,UFC Fight Night: Edgar vs. Faber,"Manila, Philippines",Mall of Asia Arena,13446
2015-05-09,http://ufcstats.com/event-details/8a1b4330c7957961,UFC Fight Night: Miocic vs. Hunt,"Adelaide, South Australia, Australia",Adelaide Entertainment Centre,7984
2015-04-25,http://ufcstats.com/event-details/997b4f52f76a0b53,UFC 186: Johnson vs. Horiguchi,"Montreal, Quebec, Canada",Bell Centre,10154
2015-04-18,http://ufcstats.com/event-details/bc7cf284c1c2f16e,UFC on FOX: Machida vs. Rockhold,"Newark, New Jersey, USA",Prudential Center,13306
2015-04-11,http://ufcstats.com/event-details/5de61b03868035ff,UFC Fight Night: Gonzaga vs. Cro Cop 2,"Krakow, Poland",Tauron Arena Kraków,10000
2015-04-04,http://ufcstats.com/event-details/16d09e800ad7ec79,UFC Fight Night: Mendes vs. Lamas,"Fairfax, Virginia, USA",Patriot Center,5417
2015-03-21,http://ufcstats.com/event-details/fa534853eb195270,UFC Fight Night: Maia vs. LaFlare,"Rio de Janeiro, Brazil",Ginásio do Maracanãzinho,7707
2015-03-14,http://ufcstats.com/event-details/f54200f1dfb9b5d4,UFC 185: Pettis vs. Dos Anjos,"Dallas, Texas, USA",American Airlines Center,17160
2015-02-28,http://ufcstats.com/event-details/ad4e9055bf8cd04d,UFC 184: Rousey vs. Zingano,"Los Angeles, California, USA",Staples Center,17654
2015-02-22,http://ufcstats.com/event-details/0577808d22dfe79c,UFC Fight Night: Bigfoot vs. Mir,"Porto Alegre, Rio Grande do Sul, Brazil",Ginásio Gigantinho,5080
2015-02-14,http://ufcstats.com/event-details/f9c7fe2682af3802,UFC Fight Night: Henderson vs. Thatch,"Broomfield, Colorado, USA",1stBank Center,5807
2015-01-31,http://ufcstats.com/event-details/43563a32c3f10e95,UFC 183: Silva vs. Diaz,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13114
2015-01-24,http://ufcstats.com/event-details/706404da0775dcbc,UFC on FOX: Gustafsson vs. Johnson,"Stockholm, Sweden",Tele2 Arena,30000
2015-01-18,http://ufcstats.com/event-details/f9aa6376ae16bfb4,UFC Fight Night: McGregor vs. Siver,"Boston, Massachusetts, USA",TD Garden,13828
2015-01-03,http://ufcstats.com/event-details/a72d260b436924c4,UFC 182: Jones vs. Cormier,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,11575
2014-12-20,http://ufcstats.com/event-details/4e5bbc4566049cbf,UFC Fight Night: Machida vs. Dollaway,"Barueri, Sao Paulo, Brazil",Ginásio José Corrêa,
2014-12-13,http://ufcstats.com/event-details/d4a12dfa4067742f,UFC on FOX: Dos Santos vs. Miocic,"Phoenix, Arizona, USA",U.S. Airways Center,15300
2014-12-12,http://ufcstats.com/event-details/222d6b547de2e035,The Ultimate Fighter: A Champion Will Be Crowned Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,1800
2014-12-06,http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,UFC 181: Hendricks vs. Lawler II,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,9617
2014-11-22,http://ufcstats.com/event-details/155a02a8b4311057,UFC Fight Night: Edgar vs. Swanson,"Austin, Texas, USA",Frank Erwin Center,10131
2014-11-15,http://ufcstats.com/event-details/59851163aaf1aed8,UFC 180: Werdum vs. Hunt,"Mexico City, Distrito Federal, Mexico",Arena Ciudad de México,21000
2014-11-08,http://ufcstats.com/event-details/6ca68b636fbc1f18,UFC Fight Night 56: Shogun vs. Saint Preux,"Uberlandia, Minas Gerais, Brazil",Ginásio Municipal Tancredo Neves,5671
2014-11-07,http://ufcstats.com/event-details/371a1c91b24dec2b,UFC Fight Night: Rockhold vs. Bisping,"Sydney, New South Wales, Australia",Qudos Bank Arena,9904
2014-10-25,http://ufcstats.com/event-details/53f02bbc41d99432,UFC 179: Aldo vs. Mendes 2,"Rio de Janeiro, Brazil",Ginásio do Maracanãzinho,11415
2014-10-04,http://ufcstats.com/event-details/0313bf497de9c470,UFC Fight Night: MacDonald vs. Saffiedine,"Halifax, Nova Scotia, Canada",Scotiabank Centre,10782
2014-10-04,http://ufcstats.com/event-details/8dc4f34c1f50d00d,UFC Fight Night: Nelson vs. Story,"Stockholm, Sweden",Avicii Arena,10026
2014-09-27,http://ufcstats.com/event-details/3bb030257966b022,UFC 178: Johnson vs. Cariaso,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,10544
2014-09-20,http://ufcstats.com/event-details/2dea80c069847321,UFC Fight Night: Hunt vs. Nelson,"Saitama, Japan",Saitama Super Arena,12395
2014-09-13,http://ufcstats.com/event-details/a71feb7ea7592a71,UFC Fight Night: Bigfoot vs. Arlovski,"Brasilia, Distrito Federal, Brazil",Ginásio Nilson Nelson,8822
2014-09-05,http://ufcstats.com/event-details/9bcfb40dbcd50568,UFC Fight Night: Jacare vs. Mousasi,"Ledyard, Connecticut, USA",Foxwoods Resort Casino,4086
2014-08-30,http://ufcstats.com/event-details/269d103c96a4c3a5,UFC 177: Dillashaw vs. Soto,"Sacramento, California, USA",Sleep Train Arena,11100
2014-08-23,http://ufcstats.com/event-details/063649e21bc9d6d5,UFC Fight Night: Henderson vs. Dos Anjos,"Tulsa, Oklahoma, USA",BOK Center,7119
2014-08-23,http://ufcstats.com/event-details/770b9d4813c25902,UFC Fight Night: Bisping vs. Le,"Macau, China",Cotai Arena,7022
2014-08-16,http://ufcstats.com/event-details/fd7acf42bd6e7e95,UFC Fight Night: Bader vs. Saint Preux,"Bangor, Maine, USA",Cross Insurance Center,5329
2014-07-26,http://ufcstats.com/event-details/05fbfe628658c538,UFC on FOX: Lawler vs. Brown,"San Jose, California, USA",SAP Center,11482
2014-07-19,http://ufcstats.com/event-details/073eee4e62f0d988,UFC Fight Night: McGregor vs. Brandao,"Dublin, Leinster, Ireland",3Arena,9500
2014-07-16,http://ufcstats.com/event-details/79ded75550efc139,UFC Fight Night: Cowboy vs. Miller,"Atlantic City, New Jersey, USA",Revel Casino Hotel,4115
2014-07-06,http://ufcstats.com/event-details/1c5879330d42255f,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,6500
2014-07-05,http://ufcstats.com/event-details/53adf5b845d91e4a,UFC 175: Weidman vs. Machida,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10088
2014-06-28,http://ufcstats.com/event-details/c0ed7b208197e8de,UFC Fight Night: Swanson vs. Stephens,"San Antonio, Texas, USA",AT&T Center,9227
2014-06-28,http://ufcstats.com/event-details/ac9521250dc1a14c,UFC Fight Night: Te Huna vs. Marquardt,"Auckland, New Zealand",Vector Arena,8089
2014-06-14,http://ufcstats.com/event-details/5b5307450405abf0,UFC 174: Johnson vs. Bagautinov,"Vancouver, British Columbia, Canada",Rogers Arena,13506
2014-06-07,http://ufcstats.com/event-details/1fcfc3709fe58151,UFC Fight Night: Henderson vs. Khabilov,"Albuquerque, New Mexico, USA",Tingley Coliseum,8775
2014-05-31,http://ufcstats.com/event-details/59aaf2730b84698a,UFC Fight Night: Miocic vs. Maldonado,"Sao Paulo, Brazil",Ginásio do Ibirapuera,8986
2014-05-31,http://ufcstats.com/event-details/b757c73f443d4fca,UFC Fight Night: Munoz vs. Mousasi,"Berlin, Germany",Uber Arena,8000
2014-05-24,http://ufcstats.com/event-details/9ca265dfe8323db3,UFC 173: Barao vs. Dillashaw,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,11036
2014-05-10,http://ufcstats.com/event-details/579fcdfcabd23a7b,UFC Fight Night: Brown vs. Silva,"Cincinnati, Ohio, USA",U.S. Bank Arena,6143
2014-04-26,http://ufcstats.com/event-details/4f2fcbefb668689d,UFC 172: Jones vs. Teixeira,"Baltimore, Maryland, USA",Baltimore Arena,13485
2014-04-19,http://ufcstats.com/event-details/a421465acbe59c77,UFC on FOX: Werdum vs. Browne,"Orlando, Florida, USA",Amway Center,17000
